loss,accuracy,val_loss,val_accuracy,epoch
0.05304207652807236,0.9859277606010437,0.00017179235874209553,1.0,0
5.8438043197384104e-05,1.0,4.302848901716061e-05,1.0,1
1.8164022549171932e-05,1.0,1.746083034959156e-05,1.0,2
7.821236977179069e-06,1.0,8.215874004235957e-06,1.0,3
3.827618911600439e-06,1.0,4.329517196310917e-06,1.0,4
1.999902224270045e-06,1.0,2.36475125348079e-06,1.0,5
1.0845251381397247e-06,1.0,1.3400524494500132e-06,1.0,6
6.014795985720411e-07,1.0,7.512244906138221e-07,1.0,7
3.369443106748804e-07,1.0,4.207207382478373e-07,1.0,8
1.9161443276516366e-07,1.0,2.444012068281154e-07,1.0,9
1.0990858356763056e-07,1.0,1.4236822210023092e-07,1.0,10
6.241043593036011e-08,1.0,8.236277437845274e-08,1.0,11
3.532484171842043e-08,1.0,5.028167393561489e-08,1.0,12
1.9926357452959564e-08,1.0,3.127944481207123e-08,1.0,13
1.1757627760289324e-08,1.0,1.860139775544667e-08,1.0,14
7.675117430494538e-09,1.0,1.3925069097808773e-08,1.0,15
6.22026030683287e-09,1.0,1.0599679356460001e-08,1.0,16
5.80829784269099e-09,1.0,9.352658203454212e-09,1.0,17
7.0850094679997255e-09,1.0,5.10684827759178e-09,1.0,18
0.045874953269958496,0.9958281517028809,9.191102435579523e-05,1.0,19
2.871295509976335e-05,1.0,4.271038778824732e-05,1.0,20
1.3952842891740147e-05,1.0,2.475638029864058e-05,1.0,21
7.875441042415332e-06,1.0,1.6098561900435016e-05,1.0,22
4.709553650172893e-06,1.0,1.1614102731982712e-05,1.0,23
2.865520855266368e-06,1.0,9.052323548530694e-06,1.0,24
1.7383821386829368e-06,1.0,7.213178832898848e-06,1.0,25
1.0530227427807404e-06,1.0,5.78337403567275e-06,1.0,26
6.350130092869222e-07,1.0,4.460881882550893e-06,1.0,27
3.863122230995941e-07,1.0,3.2762029604782583e-06,1.0,28
2.3340425059359404e-07,1.0,2.129876520484686e-06,1.0,29
1.403454774617785e-07,1.0,1.286279712076066e-06,1.0,30
8.170213305902507e-08,1.0,7.21020228411362e-07,1.0,31
4.73533958711414e-08,1.0,4.014873979940603e-07,1.0,32
2.780931396273445e-08,1.0,2.3962675754773954e-07,1.0,33
1.601086019320519e-08,1.0,1.3094621920117788e-07,1.0,34
8.855334243662583e-09,1.0,7.70518511217233e-08,1.0,35
4.4722034964195245e-09,1.0,4.497904981803913e-08,1.0,36
2.378989671925069e-09,1.0,2.958626232896222e-08,1.0,37
1.250732517554809e-09,1.0,2.0738932349217976e-08,1.0,38
6.754697912114693e-10,1.0,1.5498605065999982e-08,1.0,39
3.600031106554269e-10,1.0,8.89242368629084e-09,1.0,40
2.1525960181012493e-10,1.0,7.289116865649703e-09,1.0,41
1.5587763024793588e-10,1.0,3.2660041338061774e-09,1.0,42
1.2247527991782192e-10,1.0,1.7814584252207055e-09,1.0,43
1.0391842941714913e-10,1.0,7.719654360194284e-10,1.0,44
9.649567950242854e-11,1.0,1.2173300145690291e-09,1.0,45
1.1505254388088915e-10,1.0,5.047466333785167e-10,1.0,46
0.02301432006061077,0.9972913861274719,0.0007713992963545024,1.0,47
5.978868557576789e-06,1.0,0.00015967564831953496,1.0,48
1.2874838830612134e-06,1.0,6.520999158965424e-05,1.0,49
6.902759537297243e-07,1.0,3.434629616094753e-05,1.0,50
4.191607558823307e-07,1.0,2.05296601052396e-05,1.0,51
2.659010647221294e-07,1.0,1.306417652813252e-05,1.0,52
1.7048017753040767e-07,1.0,8.360253559658304e-06,1.0,53
1.0921755944082179e-07,1.0,5.329565283318516e-06,1.0,54
6.946548580799572e-08,1.0,3.2414172892458737e-06,1.0,55
4.4243140706612394e-08,1.0,2.0775303255504696e-06,1.0,56
2.7723899620468728e-08,1.0,1.2020194617434754e-06,1.0,57
1.7001775987068868e-08,1.0,6.933390181984578e-07,1.0,58
1.0221113733166476e-08,1.0,4.234088635257649e-07,1.0,59
6.016132925168449e-09,1.0,2.5070079345823615e-07,1.0,60
3.3253890752149573e-09,1.0,1.4776865953081142e-07,1.0,61
1.7072311342403168e-09,1.0,8.824040520494236e-08,1.0,62
8.870179035724846e-10,1.0,5.010316428410988e-08,1.0,63
4.676328768660198e-10,1.0,2.967600565284556e-08,1.0,64
2.1154820950552988e-10,1.0,1.9536599893399398e-08,1.0,65
1.1876391536880249e-10,1.0,1.0495743829608273e-08,1.0,66
7.793881512396794e-11,1.0,7.407890301180942e-09,1.0,67
2.969097884220062e-11,1.0,3.770752154963475e-09,1.0,68
1.1134117065825233e-11,1.0,2.568268486768943e-09,1.0,69
3.711372355275078e-12,1.0,1.9447583543552582e-09,1.0,70
7.422744710550155e-12,1.0,1.3360937911599535e-09,1.0,71
0.0,1.0,1.0243386139308086e-09,1.0,72
7.422744710550155e-12,1.0,7.274288948977414e-10,1.0,73
0.0,1.0,5.492831189890524e-10,1.0,74
3.711372355275078e-12,1.0,3.2660077420310074e-10,1.0,75
0.0,1.0,1.6330038710155037e-10,1.0,76
3.711372355275078e-12,1.0,1.484548872721092e-10,1.0,77
0.0,1.0,1.1876391536880249e-10,1.0,78
7.422744710550155e-12,1.0,7.42274436360546e-11,1.0,79
0.0,1.0,5.938195768440124e-11,1.0,80
0.0,1.0,1.484548872721092e-10,1.0,81
1.1134117065825233e-11,1.0,4.453646826330093e-11,1.0,82
7.422744710550155e-12,1.0,5.938195768440124e-11,1.0,83
0.0,1.0,8.907293652660186e-11,1.0,84
7.422744710550155e-12,1.0,1.484548942110031e-11,1.0,85
7.422744710550155e-12,1.0,2.969097884220062e-11,1.0,86
2.2268234131650466e-11,1.0,6.828925203095082e-10,1.0,87
0.0203336700797081,0.9977583885192871,6.835453859821428e-06,1.0,88
1.5246718021444394e-07,1.0,5.0866765377577394e-06,1.0,89
9.737729556036356e-08,1.0,4.10270513384603e-06,1.0,90
6.756675929864286e-08,1.0,3.256677928220597e-06,1.0,91
4.7608459396997205e-08,1.0,2.4295252387673827e-06,1.0,92
3.349462929236324e-08,1.0,1.7738015003487817e-06,1.0,93
2.374147278771943e-08,1.0,1.245710336661432e-06,1.0,94
1.6712226269532948e-08,1.0,8.316317234857706e-07,1.0,95
1.169078966967163e-08,1.0,5.35173626303731e-07,1.0,96
8.035106802140035e-09,1.0,3.542934052802593e-07,1.0,97
5.5781868013582425e-09,1.0,2.3834540741063392e-07,1.0,98
3.70394692694731e-09,1.0,1.6139544811721862e-07,1.0,99
